Variable,Importance,StDev,method,area,week,resp,model
tpi20,0.004754638281649959,0.00301715367849629,perm_r2,KIL,26,moist_mean,lm
tpi500,0.004795333667236385,0.00561056720624768,perm_r2,KIL,26,moist_mean,lm
wet_effect,0.09445003893229682,0.02428296990771932,perm_r2,KIL,26,moist_mean,lm
soil_type,0.19267394513312233,0.03231130475037397,perm_r2,KIL,26,moist_mean,lm
pisr_summer_10m,0.09657482941896109,0.06397627305885249,perm_rmse,KIL,26,moist_mean,lm
twi_luke,0.906341525411341,0.2099206758706944,perm_rmse,KIL,26,moist_mean,lm
dtw_0_5ha,0.28497764265373304,0.0972192169903429,perm_rmse,KIL,26,moist_mean,lm
tpi20,0.03546591993806576,0.01918388115075719,perm_rmse,KIL,26,moist_mean,lm
tpi500,0.04678295857059407,0.0487974953152642,perm_rmse,KIL,26,moist_mean,lm
wet_effect,0.7615845367132922,0.23838851684880907,perm_rmse,KIL,26,moist_mean,lm
soil_type,1.6409778959026642,0.272173795560041,perm_rmse,KIL,26,moist_mean,lm
soil_type,0.17859470311108722,0.016033501110786663,perm_r2,KIL,26,moist_mean,gam
pisr_summer_10m,0.017521720271489422,0.006644312185479404,perm_r2,KIL,26,moist_mean,gam
twi_luke,0.15324780633454804,0.03022939616612652,perm_r2,KIL,26,moist_mean,gam
dtw_0_5ha,0.024925384882573388,0.010855441623011235,perm_r2,KIL,26,moist_mean,gam
tpi20,0.0011170130795300603,0.002512388687247371,perm_r2,KIL,26,moist_mean,gam
tpi500,0.014192759688009527,0.009712847018860896,perm_r2,KIL,26,moist_mean,gam
wet_effect,0.1271630071249483,0.0303762713390444,perm_r2,KIL,26,moist_mean,gam
soil_type,1.466379763638411,0.1968094776093742,perm_rmse,KIL,26,moist_mean,gam
pisr_summer_10m,0.14471396172415182,0.055718938489181864,perm_rmse,KIL,26,moist_mean,gam
twi_luke,1.557891703630425,0.21531747213974892,perm_rmse,KIL,26,moist_mean,gam
dtw_0_5ha,0.21482569414756406,0.09166063125406128,perm_rmse,KIL,26,moist_mean,gam
tpi20,0.00689564090493171,0.02475235938101677,perm_rmse,KIL,26,moist_mean,gam
tpi500,0.2156575125797829,0.10777366377935736,perm_rmse,KIL,26,moist_mean,gam
wet_effect,1.2255473304248088,0.1898782967786983,perm_rmse,KIL,26,moist_mean,gam
pisr_summer_10m,9.01926103398154e-4,0.0029504169684083687,perm_r2,KIL,27,moist_mean,lm
twi_luke,0.035447260392749314,0.01507780068588098,perm_r2,KIL,27,moist_mean,lm
dtw_0_5ha,0.009352083693473684,0.006689669584225235,perm_r2,KIL,27,moist_mean,lm
tpi20,7.399106101327324e-5,3.432048404018374e-4,perm_r2,KIL,27,moist_mean,lm
tpi500,0.0013664816139567991,0.0024972241614260073,perm_r2,KIL,27,moist_mean,lm
wet_effect,0.08757529207861686,0.03183663163112718,perm_r2,KIL,27,moist_mean,lm
soil_type,0.23606707119922646,0.020972180565801777,perm_r2,KIL,27,moist_mean,lm
pisr_summer_10m,0.01312238545707949,0.020154693098433665,perm_rmse,KIL,27,moist_mean,lm
twi_luke,0.29113680441851403,0.08082695942129334,perm_rmse,KIL,27,moist_mean,lm
dtw_0_5ha,0.0695963262904284,0.033752171871863065,perm_rmse,KIL,27,moist_mean,lm
tpi20,0.0015137119869420347,0.001976237944399478,perm_rmse,KIL,27,moist_mean,lm
tpi500,0.00873422707145064,0.02170974733192177,perm_rmse,KIL,27,moist_mean,lm
wet_effect,0.852771847121032,0.1552092915699496,perm_rmse,KIL,27,moist_mean,lm
soil_type,1.774925669968149,0.3435831672549177,perm_rmse,KIL,27,moist_mean,lm
soil_type,0.19217617004313545,0.02627216788048348,perm_r2,KIL,27,moist_mean,gam
pisr_summer_10m,0.012454754557607145,0.00717509502472619,perm_r2,KIL,27,moist_mean,gam
twi_luke,0.07734547620237658,0.015531663277707887,perm_r2,KIL,27,moist_mean,gam
dtw_0_5ha,0.006242035644090144,0.0068276907144860675,perm_r2,KIL,27,moist_mean,gam
tpi20,8.524337116334601e-5,0.001203034879289879,perm_r2,KIL,27,moist_mean,gam
tpi500,0.01384361900250517,0.00643128963329677,perm_r2,KIL,27,moist_mean,gam
wet_effect,0.18334720316003222,0.02715772672726766,perm_r2,KIL,27,moist_mean,gam
soil_type,1.4223141873553486,0.2091205193810727,perm_rmse,KIL,27,moist_mean,gam
pisr_summer_10m,0.07411099324586168,0.05757670735076634,perm_rmse,KIL,27,moist_mean,gam
twi_luke,0.5354845111212111,0.1157772842126776,perm_rmse,KIL,27,moist_mean,gam
dtw_0_5ha,0.049209174170685974,0.03243749508704904,perm_rmse,KIL,27,moist_mean,gam
tpi20,0.0030310451139405003,0.006596269312767264,perm_rmse,KIL,27,moist_mean,gam
tpi500,0.1100682155333228,0.031319127941358875,perm_rmse,KIL,27,moist_mean,gam
wet_effect,1.2716527971612241,0.17549936927613083,perm_rmse,KIL,27,moist_mean,gam
pisr_summer_10m,1.3635532707025332e-4,5.786382574302096e-4,perm_r2,KIL,28,moist_mean,lm
twi_luke,0.03391995168591786,0.01526011265136943,perm_r2,KIL,28,moist_mean,lm
dtw_0_5ha,0.007128456406678169,0.004829582335478306,perm_r2,KIL,28,moist_mean,lm
tpi20,-2.5581997738227667e-5,5.867699923851571e-4,perm_r2,KIL,28,moist_mean,lm
tpi500,0.001485436062777562,0.0027724197797798613,perm_r2,KIL,28,moist_mean,lm
wet_effect,0.11548167768103139,0.028015982974965825,perm_r2,KIL,28,moist_mean,lm
soil_type,0.25875947674010447,0.03334161462025867,perm_r2,KIL,28,moist_mean,lm
pisr_summer_10m,5.309732887130991e-4,0.00458124430282087,perm_rmse,KIL,28,moist_mean,lm
twi_luke,0.2865171362451425,0.10304509054361428,perm_rmse,KIL,28,moist_mean,lm
dtw_0_5ha,0.06453259669823411,0.062252411447582444,perm_rmse,KIL,28,moist_mean,lm
tpi20,0.001967612710435951,0.007835450819171705,perm_rmse,KIL,28,moist_mean,lm
tpi500,5.155944361890264e-4,0.026750678815267,perm_rmse,KIL,28,moist_mean,lm
wet_effect,1.070833743925416,0.18802816488449886,perm_rmse,KIL,28,moist_mean,lm
soil_type,2.081539298048236,0.2043798193288425,perm_rmse,KIL,28,moist_mean,lm
soil_type,0.24926816955083653,0.030642861789097645,perm_r2,KIL,28,moist_mean,gam
pisr_summer_10m,0.011380051734578294,0.006233605947937443,perm_r2,KIL,28,moist_mean,gam
twi_luke,0.02856163044715283,0.013035714401454948,perm_r2,KIL,28,moist_mean,gam
dtw_0_5ha,0.008289087667129042,0.006006209947069489,perm_r2,KIL,28,moist_mean,gam
tpi20,1.5355992370895134e-4,0.0012874827607579468,perm_r2,KIL,28,moist_mean,gam
tpi500,0.008059865077513256,0.0034535128168909305,perm_r2,KIL,28,moist_mean,gam
wet_effect,0.16291631443061874,0.03765750371878089,perm_r2,KIL,28,moist_mean,gam
soil_type,1.779638700421147,0.3182012569699281,perm_rmse,KIL,28,moist_mean,gam
pisr_summer_10m,0.06481756612279295,0.051478365329962035,perm_rmse,KIL,28,moist_mean,gam
twi_luke,0.2702206650519633,0.11279984787435729,perm_rmse,KIL,28,moist_mean,gam
dtw_0_5ha,0.07811136061214903,0.06260178642374795,perm_rmse,KIL,28,moist_mean,gam
tpi20,0.0020241786806849404,0.008990903828397201,perm_rmse,KIL,28,moist_mean,gam
tpi500,0.09632304514415875,0.050517860918741435,perm_rmse,KIL,28,moist_mean,gam
wet_effect,1.3698973654227582,0.2855644240911195,perm_rmse,KIL,28,moist_mean,gam
pisr_summer_10m,-9.810708344937246e-7,6.68618635759403e-6,perm_r2,KIL,29,moist_mean,lm
twi_luke,0.014147752724462287,0.009856070819237922,perm_r2,KIL,29,moist_mean,lm
dtw_0_5ha,0.0029922300759067655,0.003545829808301786,perm_r2,KIL,29,moist_mean,lm
tpi20,-2.8153206971565093e-5,6.304156373787358e-5,perm_r2,KIL,29,moist_mean,lm
tpi500,7.010287185976683e-4,0.0015799795946987085,perm_r2,KIL,29,moist_mean,lm
wet_effect,0.12130568882233624,0.026019848179922363,perm_r2,KIL,29,moist_mean,lm
soil_type,0.2963405430200009,0.04274343032557162,perm_r2,KIL,29,moist_mean,lm
pisr_summer_10m,-9.486051434137721e-6,4.027486705872992e-5,perm_rmse,KIL,29,moist_mean,lm
twi_luke,0.16459903273281107,0.0726264098141298,perm_rmse,KIL,29,moist_mean,lm
dtw_0_5ha,0.026004531519197193,0.02036956522619732,perm_rmse,KIL,29,moist_mean,lm
tpi20,2.9549706546028177e-5,3.658583674934468e-4,perm_rmse,KIL,29,moist_mean,lm
tpi500,0.005707272095732385,0.01871950200254546,perm_rmse,KIL,29,moist_mean,lm
wet_effect,1.0412435175919068,0.13819497938799072,perm_rmse,KIL,29,moist_mean,lm
soil_type,2.5267453161901132,0.3104884083391894,perm_rmse,KIL,29,moist_mean,lm
soil_type,0.26746214004253177,0.032189283130291915,perm_r2,KIL,29,moist_mean,gam
pisr_summer_10m,0.008050672197336923,0.003258075717690674,perm_r2,KIL,29,moist_mean,gam
twi_luke,0.02152720033427033,0.009017231128130115,perm_r2,KIL,29,moist_mean,gam
dtw_0_5ha,0.007796279870570066,0.004290288305534615,perm_r2,KIL,29,moist_mean,gam
tpi20,6.965889078665022e-5,2.7292040696226235e-4,perm_r2,KIL,29,moist_mean,gam
tpi500,0.008921915808472536,0.0051311125413902895,perm_r2,KIL,29,moist_mean,gam
wet_effect,0.18478740342726654,0.02403856625711977,perm_r2,KIL,29,moist_mean,gam
soil_type,2.200983217667477,0.4269978340671117,perm_rmse,KIL,29,moist_mean,gam
pisr_summer_10m,0.04314912756261222,0.035505447058431304,perm_rmse,KIL,29,moist_mean,gam
twi_luke,0.19017296543560516,0.06919577219905093,perm_rmse,KIL,29,moist_mean,gam
dtw_0_5ha,0.09049321450031336,0.041140075226400945,perm_rmse,KIL,29,moist_mean,gam
tpi20,9.307539775431195e-4,0.0016019941545935743,perm_rmse,KIL,29,moist_mean,gam
tpi500,0.07651419381815856,0.034357665330483594,perm_rmse,KIL,29,moist_mean,gam
wet_effect,1.5912649406502386,0.19088587044308328,perm_rmse,KIL,29,moist_mean,gam
pisr_summer_10m,-2.2749211104511335e-5,2.1875876458770724e-4,perm_r2,KIL,30,moist_mean,lm
twi_luke,0.023541595572713077,0.009774811074938989,perm_r2,KIL,30,moist_mean,lm
dtw_0_5ha,0.0017358301875982861,0.0034425513773192295,perm_r2,KIL,30,moist_mean,lm
tpi20,0.0011394515372295966,0.0031382683780981488,perm_r2,KIL,30,moist_mean,lm
tpi500,1.276779813983775e-4,0.0016998997281176256,perm_r2,KIL,30,moist_mean,lm
wet_effect,0.0864901654109995,0.025497551002425293,perm_r2,KIL,30,moist_mean,lm
soil_type,0.27081275396330545,0.022390224295796467,perm_r2,KIL,30,moist_mean,lm
pisr_summer_10m,-7.434967651853697e-6,0.0018016248265851416,perm_rmse,KIL,30,moist_mean,lm
twi_luke,0.11724254515599739,0.09287564400501296,perm_rmse,KIL,30,moist_mean,lm
dtw_0_5ha,0.036573818243330614,0.03678293573029533,perm_rmse,KIL,30,moist_mean,lm
tpi20,0.00983678618814494,0.01833381114656511,perm_rmse,KIL,30,moist_mean,lm
tpi500,0.017389591004047668,0.016599889579225476,perm_rmse,KIL,30,moist_mean,lm
wet_effect,0.7771687873382573,0.19492083818462025,perm_rmse,KIL,30,moist_mean,lm
soil_type,2.259209839206142,0.2707860786723409,perm_rmse,KIL,30,moist_mean,lm
soil_type,0.2730370723729472,0.030460724697640492,perm_r2,KIL,30,moist_mean,gam
pisr_summer_10m,0.002184147042265644,0.003942978545144426,perm_r2,KIL,30,moist_mean,gam
twi_luke,0.019769509161926786,0.009571212920032846,perm_r2,KIL,30,moist_mean,gam
dtw_0_5ha,0.005016325450871273,0.004811041699998592,perm_r2,KIL,30,moist_mean,gam
tpi20,8.968295452826403e-4,0.002592893855667935,perm_r2,KIL,30,moist_mean,gam
tpi500,0.006158630932638076,0.00389505298447005,perm_r2,KIL,30,moist_mean,gam
wet_effect,0.11236944646630591,0.02603146588053327,perm_r2,KIL,30,moist_mean,gam
soil_type,2.2718346786424775,0.29517840676976226,perm_rmse,KIL,30,moist_mean,gam
pisr_summer_10m,0.054696863681935784,0.03996000736221596,perm_rmse,KIL,30,moist_mean,gam
twi_luke,0.19367441354216855,0.13910096074313125,perm_rmse,KIL,30,moist_mean,gam
dtw_0_5ha,0.03403207392605978,0.03384229189836932,perm_rmse,KIL,30,moist_mean,gam
tpi20,0.008776984151556633,0.013261483764209098,perm_rmse,KIL,30,moist_mean,gam
tpi500,0.06125926248807154,0.034149141375051185,perm_rmse,KIL,30,moist_mean,gam
wet_effect,0.9602776139621441,0.19894000192211603,perm_rmse,KIL,30,moist_mean,gam
pisr_summer_10m,3.0847824052877e-4,8.109666603772361e-4,perm_r2,KIL,31,moist_mean,lm
twi_luke,0.07150484652534729,0.013733701627960402,perm_r2,KIL,31,moist_mean,lm
dtw_0_5ha,2.0041002364190597e-5,1.1232730175128543e-4,perm_r2,KIL,31,moist_mean,lm
tpi20,4.5161912071489674e-5,2.933811710455528e-4,perm_r2,KIL,31,moist_mean,lm
tpi500,2.3935951254674403e-4,6.00667752592838e-4,perm_r2,KIL,31,moist_mean,lm
