term,estimate,std.error,statistic,p.value,area,week,resp,pred,model
(Intercept),25.20496939204725,4.2077122861039635,5.990183662339999,2.5953703298338915e-7,TII,37,moist_mean,swi,lm
swi,1.4932402554182949,0.3266995062889839,4.57068415064405,3.4189921500875004e-5,TII,37,moist_mean,swi,lm
(Intercept),8.573996581642591,5.720188170896725,1.4989011419703855,0.14044786235096007,TII,38,moist_mean,twi_luke,lm
twi_luke,4.39711957789518,0.6694655876646088,6.568103960704346,3.381032800772941e-8,TII,38,moist_mean,twi_luke,lm
(Intercept),51.309541125834066,1.969253074217442,26.055331230712373,5.597070309470899e-30,TII,38,moist_mean,dtw_0_5ha,lm
dtw_0_5ha,-11.801404721547263,2.2069645370271886,-5.347346784939243,2.4465599290368584e-6,TII,38,moist_mean,dtw_0_5ha,lm
(Intercept),24.65675034212785,4.390862069596961,5.615469115473969,9.641876195488444e-7,TII,38,moist_mean,swi,lm
swi,1.6926819764834262,0.34091980933624855,4.9650443597835565,9.080023146309643e-6,TII,38,moist_mean,swi,lm
(Intercept),5.67970844426707,5.920694713499163,0.9592976363596919,0.3422162048034355,TII,39,moist_mean,twi_luke,lm
twi_luke,4.625719766482814,0.6929319888324742,6.675575440349811,2.3127505460222972e-8,TII,39,moist_mean,twi_luke,lm
(Intercept),50.58935515564625,2.052485573364104,24.64784932579493,6.709184437311867e-29,TII,39,moist_mean,dtw_0_5ha,lm
dtw_0_5ha,-12.326651693622985,2.30024415474104,-5.358844915752306,2.351189587383728e-6,TII,39,moist_mean,dtw_0_5ha,lm
(Intercept),22.512337500184767,4.550212448260529,4.947535473599888,9.636720993951862e-6,TII,39,moist_mean,swi,lm
swi,1.7878798129960438,0.35329225462160657,5.060625557474933,6.555587061486261e-6,TII,39,moist_mean,swi,lm
(Intercept),3.6325331196250428,6.04912528835072,0.600505518809554,0.5509943654966225,TII,40,moist_mean,twi_luke,lm
twi_luke,4.734012399093628,0.7079629367136209,6.686808240370627,2.2227524847053047e-8,TII,40,moist_mean,twi_luke,lm
(Intercept),49.401392939181335,2.132336431191456,23.167729170944195,1.0459246227070866e-27,TII,40,moist_mean,dtw_0_5ha,lm
dtw_0_5ha,-12.259236377036295,2.389733928190395,-5.1299587089678615,5.1710934083421125e-6,TII,40,moist_mean,dtw_0_5ha,lm
