r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs,loocv_R2,loocv_rmse,area,week,resp,model
0.3941446636321604,0.36628924586812184,11.126632953746942,14.149659034767803,8.830176604964269e-16,8,-695.9608412037334,1411.9216824074667,1444.016543935881,21541.54119440889,174,183,0.33841561822394195,11.347338666576807,KIL,24,moist_mean,lm
0.453879378816373,0.4208428870680281,NA,NA,NA,11.381710530601753,-686.4630158998257,1398.623439679095,1439.8611770555915,19417.63842317747,171.61828946939823,183,0.38373224969818576,10.946681477213474,KIL,24,moist_mean,gam
0.3815866895170776,0.35868249283252496,11.301140574241497,16.66012105870675,3.7016049895678657e-19,8,-860.2720182771192,1740.5440365542383,1774.7050405762825,27586.608108213768,216,225,0.32854610082503094,11.549108059917602,KIL,25,moist_mean,lm
0.39299982049062365,0.3676178458453061,NA,NA,NA,9.990706463168696,-858.1763756664731,1739.1360437425385,1778.051050924513,27077.48327839879,215.0092935368313,225,0.32009547918722914,11.63249890645523,KIL,25,moist_mean,gam
0.4245924293562465,0.4042240197759366,10.795290164425928,20.84563488779704,1.5157958948696053e-23,8,-887.9529564403148,1795.9059128806296,1830.5017680220712,26337.653479918168,226,235,0.3762779880295514,11.029493506714283,KIL,26,moist_mean,lm
0.4416644809346957,0.41865078415187174,NA,NA,NA,10.263287711370433,-884.4140282384973,1792.2950955347796,1832.8882097268638,25556.228622818293,224.73671228862958,235,0.3704982835700058,11.091042666987097,KIL,26,moist_mean,gam
0.3607446953683796,0.3383146846795507,10.283541144127204,16.083126324502718,8.992612701994415e-19,8,-884.0398494623448,1788.0796989246896,1822.760300336041,24111.277809554205,228,237,0.30961474628282537,10.486544964312317,KIL,27,moist_mean,lm
0.3890839600149226,0.35970665962477877,NA,NA,NA,11.827916604616089,-878.6665408211984,1785.3195293667861,1833.8488712892442,23042.384242523054,225.1720833953839,237,0.29397927498908694,10.624040972926718,KIL,27,moist_mean,gam
0.39952910383732193,0.3784599495859998,10.226816378302658,18.962749955293173,9.661653743550753e-22,8,-882.7289211898802,1785.4578423797605,1820.1384437911117,23846.012297698446,228,237,0.3497762356020218,10.442590503809782,KIL,28,moist_mean,lm
0.42008908584152227,0.393393252702669,NA,NA,NA,11.3859982580795,-878.6004192433749,1784.2470699820494,1831.146048690431,23029.53045512169,225.6140017419205,237,0.32890620919903124,10.62824892238518,KIL,28,moist_mean,gam
0.4125352976090389,0.39192250103391735,9.96969887910296,20.013553042431287,8.744275685098927e-23,8,-876.6942029303973,1773.3884058607946,1808.0690072721459,22662.036228716992,228,237,0.3631132432463199,10.18368438834288,KIL,29,moist_mean,lm
0.4348686470482088,0.40823785435985904,NA,NA,NA,11.620596671745226,-872.10138278035015,1771.8597975694913,1819.8179227353849,21800.50502175396,225.37940332825477,237,0.3435800778737804,10.356306034569705,KIL,29,moist_mean,gam
0.36814663543241005,0.34607315544751605,10.836889468658779,16.678232688472864,2.0366615690634913e-19,8,-900.2636084553676,1820.5272169107352,1855.24992364745,26893.341698507407,229,238,0.31993606930815577,11.027430926659234,KIL,30,moist_mean,lm
0.37690957749057,0.35200923015085583,NA,NA,NA,10.107201204248847,-898.6016901057362,1820.673855053619,1861.4217757993842,26520.3678278759,227.89279879575116,238,0.30181408301041446,11.187305436605378,KIL,30,moist_mean,gam
0.47097058578758083,0.45232637735718717,10.18247352195965,25.26095905577888,1.1385285882806772e-27,8,-877.9590815107751,1775.9181630215503,1810.5564810718065,23535.98811476793,227,236,0.428049991952194,10.37188427508561,KIL,31,moist_mean,lm
0.4829577509018257,0.46177867680156715,NA,NA,NA,10.247278394664797,-875.2545872552565,1773.8888369268095,1814.3804460609745,23002.691159855425,225.7527216053352,236,0.4276829948497794,10.378032423859947,KIL,31,moist_mean,gam
0.47971322582227266,0.46161629454652564,9.793897640713851,26.507987377128952,7.070917102780696e-29,8,-879.8799133748258,1779.7598267496517,1814.5244622689668,22061.69912925948,230,239,0.4383552115670151,9.971122743450085,KIL,32,moist_mean,lm
0.4939490351731288,0.4733701260863262,NA,NA,NA,10.300232678144383,-876.5646531786921,1776.551701681667,1817.2652535035675,21458.05867874746,228.69976732185563,239,0.43997420610631516,9.959723983173282,KIL,32,moist_mean,gam
0.4885573028416892,0.47069030905449927,9.205791264302086,27.34412451589759,1.4343493678040434e-29,8,-861.4402787192329,1742.8805574384658,1777.6032641751806,19406.96975163524,229,238,0.446557211690666,9.382590594336136,KIL,33,moist_mean,lm
0.5079348982314852,0.4864491830712102,NA,NA,NA,10.915502663276355,-856.8439606377019,1738.8263598941985,1782.4700914931639,18671.67641441746,227.08449733672364,238,0.44856910715950044,9.369595518200866,KIL,33,moist_mean,gam
0.4825959574067596,0.4645992950556903,9.020255582345271,26.815858851632413,3.7988246759032314e-29,8,-860.213360226392,1740.426720452784,1775.191355972099,18713.952477291135,230,239,0.4397827714654215,9.19818344961927,KIL,34,moist_mean,lm
0.5006587033639269,0.47994365531524275,NA,NA,NA,10.480090928561498,-855.967016173791,1735.6405198135503,1776.8478896234303,18060.642217561388,228.5199090714385,239,0.44533556628009013,9.154986224317733,KIL,34,moist_mean,gam
0.5333455160644596,0.5170431760143097,9.049762935597517,32.71588707043048,5.1487771218079e-34,8,-857.3718570116605,1734.743714023321,1769.4664207600358,18754.68990462784,229,238,0.49626795475877267,9.210271575406788,KIL,35,moist_mean,lm
