r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs,loocv_R2,loocv_rmse,area,week,resp,pred,model
0.21685130658616095,0.21252451822475837,12.403285588604838,50.118306807101085,3.084140434756786e-11,1,-719.4471839458589,1444.8943678917178,1454.522826350242,27845.310304041133,181,183,0.1940637052347317,12.508260875608428,KIL,24,moist_mean,twi_luke,lm
0.13840577702700152,0.13364558794980252,13.009662162621945,29.07568896579331,2.1534054943153237e-7,1,-728.181942367199,1462.363884734398,1471.9923431929221,30634.487034985832,181,183,0.12278973574044086,13.050171479902863,KIL,24,moist_mean,dtw_0_5ha,lm
0.35191421535595563,0.34833363091040825,11.283163398825273,98.2840150002869,8.86658729004974e-19,1,-702.1262788860652,1410.2525577721303,1419.8810162306545,23043.06950751084,181,183,0.33567859526383675,11.351709692835792,KIL,24,moist_mean,swi,lm
0.19989538266951914,0.1963074695873196,12.65117010540263,55.71355216525454,1.8636011615913685e-12,1,-889.2503836153053,1784.5007672306106,1794.7490684372237,35691.6194229908,223,225,0.18179543383622448,12.73274007558268,KIL,25,moist_mean,twi_luke,lm
0.12304012220622232,0.11910756670042055,13.244853805210004,31.287574205806227,6.481875857245838e-8,1,-899.5687431213148,1805.1374862426296,1815.3857874492428,39120.03196766906,223,225,0.11057669545857315,13.27599045269692,KIL,25,moist_mean,dtw_0_5ha,lm
0.3248960330856714,0.3218686610367282,11.62097687133209,107.31949289123186,8.756572107710581e-21,1,-870.139357610317,1746.278715220634,1756.5270164272472,30115.504068019887,223,225,0.3105418575503886,11.685964340628127,KIL,25,moist_mean,swi,lm
0.21027099079424544,0.20688159590495037,12.45551930092667,62.03791463141581,1.276199391277623e-13,1,-925.1547785593881,1856.3095571187762,1866.6883136612087,36147.61092599133,233,235,0.19316915067445822,12.532461088456467,KIL,26,moist_mean,twi_luke,lm
0.12360340156281535,0.11984204277123933,13.121187303089132,32.86136963047578,3.0490626666482896e-8,1,-937.3899203298079,1880.7798406596157,1891.1585972020482,40114.57460456015,233,235,0.11163139492662581,13.15136464614897,KIL,26,moist_mean,dtw_0_5ha,lm
0.3458739657835631,0.3430665579113895,11.335834862474703,123.20046873551755,2.9475842361549893e-23,1,-903.0189753518049,1812.0379507036098,1822.4167072460423,29940.768422826168,233,235,0.3320216991804644,11.40150043010343,KIL,26,moist_mean,swi,lm
0.13494411264461878,0.13126302376225563,11.783141558702493,36.65874879880169,5.527246120818147e-9,1,-919.8849384178221,1845.7698768356443,1856.1740572590497,32627.96987321913,235,237,0.117397433140172,11.84433983503552,KIL,27,moist_mean,twi_luke,lm
0.06986014731163057,0.06590210538529717,12.218366228135405,17.65017870246392,3.7719520489491374e-5,1,-928.4810279071182,1862.9620558142365,1873.366236237642,35082.791221937354,235,237,0.05772802224231354,12.239133668305131,KIL,27,moist_mean,dtw_0_5ha,lm
0.23711544025596806,0.2338691229804617,11.065433299592359,73.04136353060908,1.6280458090203042e-15,1,-904.9909824051873,1815.9819648103746,1826.38614523378,28774.296315315944,235,237,0.2212246567797525,11.123614515197536,KIL,27,moist_mean,swi,lm
0.13887623303897706,0.13521187658382383,12.0631508092479,37.89921497502555,3.192487544163549e-9,1,-925.4510232100636,1856.9020464201271,1867.3062268435326,34197.10774996469,235,237,0.12109875903096498,12.12960098907321,KIL,28,moist_mean,twi_luke,lm
0.07228833664248588,0.06834062743670932,12.520869169636068,18.311464415035143,2.7318839271231093e-5,1,-934.2772272955374,1874.5544545910748,1884.9586350144803,36841.4587193386,235,237,0.059724234273083675,12.547606732316604,KIL,28,moist_mean,dtw_0_5ha,lm
0.24666841473597328,0.2434627484157008,11.282908277670758,76.94762651248386,3.6335818367852963e-16,1,-909.6036912840101,1825.2073825680202,1835.6115629914257,29916.44451254786,235,237,0.23048510354717505,11.347521660638984,KIL,28,moist_mean,swi,lm
0.11665951230053508,0.11290061660819706,12.041725233297567,31.035581151752915,6.912287833694176e-8,1,-925.0297090470267,1856.0594180940534,1866.4635985174589,34075.739449645305,235,237,0.09876557460023168,12.104338743916887,KIL,29,moist_mean,twi_luke,lm
0.05815031824890996,0.054142447262735205,12.434131116658458,14.509029469635985,1.781103631718484e-4,1,-932.6297016611225,1871.259403322245,1881.6635837456504,36332.78990716972,235,237,0.045391292386160874,12.45985015797523,KIL,29,moist_mean,dtw_0_5ha,lm
0.2351493119189725,0.23189462813990436,11.20502876643765,72.24951112955571,2.2118712414256574e-15,1,-907.9621429359713,1821.9242858719426,1832.328466295348,29504.877369323385,235,237,0.2188337706718759,11.266356547162395,KIL,29,moist_mean,swi,lm
0.1106420697520767,0.10687360394594148,12.664747139878141,29.35997709517368,1.4807950055141673e-7,1,-940.942857214551,1887.885714429102,1898.3025264501166,37853.413547624164,236,238,0.09438810576474653,12.713854337485875,KIL,30,moist_mean,twi_luke,lm
0.05405626101975733,0.050048024837637706,13.06143476771803,13.486296356710895,2.9728749682258267e-4,1,-948.2831721828784,1902.5663443657568,1912.9831563867713,40261.854453159394,236,238,0.04121529515712572,13.085592260836263,KIL,30,moist_mean,dtw_0_5ha,lm
0.22167363702528914,0.21837564396183706,11.847837874606576,67.21470687183705,1.5597828475746403e-14,1,-925.0737490903633,1856.1474981807266,1866.5643102017411,33127.61790349905,236,238,0.20646132298098258,11.898705463740924,KIL,30,moist_mean,swi,lm
