area,mean_2m_temperature,sum_total_precipitation
AIL,8.551380908736803,384.9738288681317
HYY,16.3148427538012,316.7962827927974
KAR,17.01618853105225,281.7899304173784
MAL,8.053735042217681,420.9823063103147
PIS,15.9719307463007,402.2724990868343
RAS,9.08091635677988,320.31824590666247
SAA,8.047407980330036,416.50589686699846
TII,15.243592058609124,395.8995034935492
VAR,12.457945633143026,295.5974252724707
